Hypotheses # and name,Hypotheses,BMC Block,Value Map,Customer Profile,CS.#,Date of Hypotheses,Which interviews supported the hypotheses?,# of Yes,Which interviews rejected the hypotheses?,# of No,# of Total Interviews,Accept or Reject Hypotheses,Early Adopter,Field 15,Field 16,Which interviews rejected the hypotheses? copy
VP.3 - One-Click Compliance Proof,"Integrated certification tracking that provides instant proof of compliance (ISO, FDA, FAA certifications) would eliminate audit risk and save manufacturers weeks of documentation gathering.",Value Proposition,Gain Creators,,CS.1,2026-1-19,,0,,0,0,Insufficient Data,Manufacturers in heavily regulated industries,,,37
VP.4 - Qualified Client Pipeline,A marketplace that brings pre-qualified client leads to 3D printing facilities would increase capacity utilization and reduce customer acquisition costs from $5-10K to <$3K (via 10-15% commission).,Value Proposition,Product/Service,,CS.2,2026-1-19,37,1,,0,1,Insufficient Data,Facilities with <70% utilization,,,
VP.5 - Build Credibility with Badges,A verified certification badge system (integrated with labs) would help 3D printing facilities prove credentials to new clients and win more business.,Value Proposition,Gain Creators,,CS.2,2026-1-19,41,1,,0,1,Insufficient Data,Facilities with certifications but struggling to prove them,,,37
VP.6 - Reduce Admin Time 60%,"A digital certification workflow (online requests, automated scheduling, digital reporting) would reduce labs' administrative time by 60%, allowing them to focus on actual testing work.",Value Proposition,Pain Relievers,,CS.3,2026-1-19,,0,,0,0,Insufficient Data,Labs experiencing growth/backlog,,,
VP.7 - Real-Time Compliance Tracking,A centralized compliance dashboard that aggregates all certification data would enable regulatory authorities to monitor industry compliance in real-time and identify non-compliant facilities proactively.,Value Proposition,Product/Service,,CS.3,2026-1-19,,0,,0,0,Insufficient Data,Compliance officers seeking better visibility,,,
P.8 - Standardized Quality Across Facilities,A platform that standardizes quality requirements and provides secure design file sharing would enable OEMs to scale distributed 3D printing manufacturing while maintaining quality control and IP protection.,Value Proposition,Product/Service,,CS.4,2026-1-19,,0,,0,0,Insufficient Data,OEMs with distributed customer base,,,
RS.1 - 10-15% Commission Acceptable,3D printing facilities will pay 10-15% commission on jobs received through the platform because it's cheaper than their current $5-10K customer acquisition cost.,Revenue Streams,,,CS.2,2026-1-19,,0,,0,0,Insufficient Data,Facilities with high current CAC,,,
RS.2 - $5K-$25K Annual Subscription,"Manufacturers will pay $5K-$25K annually for premium features (priority matching, expedited certification, analytics) after experiencing value from freemium basic access.",Revenue Streams,,,CS.1,2026-1-19,,0,,0,0,Insufficient Data,High-frequency manufacturers (monthly orders),,,
RS.3 - Labs Pay $10K-$50K Annually,"Certification labs will pay $10K-$50K annually to be listed as ""verified partners"" on the platform because it brings them more business and streamlines their workflow.",Revenue Streams,,,CS.3,2026-1-19,,0,,0,0,Insufficient Data,Labs seeking to modernize and grow,,,
RS.4 - OEMs Pay $50K-$150K Annually,OEMs will pay $50K-$150K annually for enterprise distributed manufacturing management dashboard because it enables them to scale production while maintaining quality control.,Revenue Streams,,,CS.4,2026-1-19,,0,,0,0,Insufficient Data,OEMs with urgent distributed manufacturing needs,,,
CH.1 - RAPID + Formnext Drive Leads,"Attending industry conferences (RAPID + TCT, Formnext, AMUG) will generate 50+ qualified leads per event from clients, facilities, and labs. ",Channels,,,"CS.1,CS.2,CS.3",2026-1-19,,0,,0,0,Insufficient Data,Conference attendees actively seeking solutions ,,,
H.2 - Thought Leadership Generates Inbound,Publishing whitepapers and case studies on LinkedIn about certified local 3D printing will generate 20-30 inbound leads per month from procurement managers and facility operators.,Channels,,,"CS.1,CS.2",2026-1-19,,0,,0,0,Insufficient Data,Active LinkedIn users researching solutions,,,
VP.9 - Real-Time Communication Platform,"A real-time, transparent communication platform (messaging, status updates, document sharing) would reduce project delays by 30-50% and is valued more than any other single feature across all customer segments.",Value Proposition,Product/Service,,"CS.1,CS.2,CS.3,CS.4",2026-1-23,37,1,,0,1,Insufficient Data,Companies experiencing communication delays causing project timeline impacts (10+ person teams with external partners),,,
VP.10 - Demand Forecasting & Pipeline Visibility,Demand forecasting and pipeline visibility tools would enable 2-4 week advance planning (vs. current 1 week reactive planning) and increase capacity utilization by 15-25% for both manufacturers and facilities.,Value Proposition,Gain Creators,,"CS.1,CS.2,CS.3",2026-1-23,"37,39,41",3,,0,3,Insufficient Data,Facilities with variable demand and manufacturers with unpredictable sourcing needs,,,
KR.1 - IoT/AI Quality System Integration,"Platform must integrate with existing IoT/AI quality systems (vision detection, sensors, ML models) via API to be attractive to advanced manufacturers. Integration capability is table stakes, not competitive advantage.",Key Resources,,,"CS.2,CS.4",2026-1-23,"37,41",2,,0,2,Insufficient Data,Technology-forward manufacturers already investing in Industry 4.0,,,
CG.9 - Scaling Playbooks and Benchmarks,"Manufacturers scaling production gain significant value from adaptive planning tools, peer benchmarking data, and scaling playbooks that acknowledge non-linear growth challenges (vs. simple linear capacity calculators).",Customer Segment,Gain Creators,,"CS.2,CS.4",2026-1-23,37,1,,0,1,Insufficient Data,Facilities and OEMs currently scaling production (2-5x growth target),,,
VP.11 - Quality-Over-Quantity Matching Algorithm,"A matching algorithm optimized for precision (technical fit, budget alignment, timeline compatibility, certification match) rather than recall is 3x more valuable than a large database with poor filtering. Showing fewer, better matches increases conversion by 40%+.",Value Proposition,Product/Service,,"CS.1,CS.2",2026-1-23,37,1,,0,1,Insufficient Data,Procurement managers and facility operators who waste time on unqualified leads,,,
VP.12 - Certification Body Decision Support,"A decision support tool for selecting the appropriate certification body (based on product type, target market, customer requirements, timeline, cost) could save manufacturers $50K+ in wasted certifications and 2-4 months per product launch.",Value Proposition,Pain Relievers,,"CS.1,CS.3",2026-1-23,"37,41",2,,0,2,Insufficient Data,Manufacturers launching new products requiring certification in multiple markets,,,
VP.13 - Multi-Role Collaboration Workspaces,"Platform must address INTERNAL team collaboration (engineering, procurement, quality, supply chain) not just buyer-supplier communication. Multi-role workspaces with role-based permissions reduce internal communication delays by 40%.",Value Proposition,Pain Relievers,,"CS.1,CS.2,CS.3",2026-1-23,"37,39",2,,0,2,Insufficient Data,Mid-size companies (50-500 employees) with cross-functional teams involved in sourcing decisions,,,
VP.14 - Transparent Pricing/Budget Pre-Qualification,Displaying transparent pricing (or price ranges) upfront and enabling budget-based filtering would reduce time wasted on budget misalignment by 40% and improve lead-to-quote conversion by 25%.,Value Proposition,Pain Relievers,,"CS.1,CS.2",2026-1-23,"37,41",2,,0,2,Insufficient Data,Facilities and manufacturers frustrated with budget misalignment causing wasted sales cycles,,,
VP.15 - Inter-Lab Secure Collaboration Network,"Labs need access to specialized instruments they don't own, and would use a secure platform that enables confidential test requests to other labs without revealing proprietary project details, reducing turnaround time from weeks to days.",Value Proposition,Product/Service,,CS.3,2026-1-27,38,1,,0,1,Insufficient Data,Lab managers/directors who need external instruments monthly and are frustrated with slow physical shipping processes,,,
VP.16 - Cost/ROI Decision Support Tools for Labs,"Labs would pay for decision support tools that help justify AM equipment investments by comparing costs, capabilities, and ROI vs. traditional manufacturing methods, reducing investment decision time from months to weeks.",Value Proposition,Product/Service,,CS.3,2026-1-27,38,1,,0,1,Insufficient Data,Lab directors/administrators evaluating equipment investments ($1M+ decisions),,,
VP.17 - Feasibility Assessment & Project Planning Tools,"Labs would value tools that help assess project feasibility based on material parameters, available instruments, and historical success/failure data before committing resources, reducing failed projects by 30-40%.",Value Proposition,Product/Service,,CS.3,2026-1-27,38,1,,0,1,Insufficient Data,Lab researchers + managers with high project failure rates (30%+ failed/delayed projects) ,,,
"NH.1 - Post-COVID
  Stock Depletion Creates AM Opportunity",The shift from stock-based to pre-order supply chains (post-COVID) creates market gap that AM can fill by enabling on-demand production vs 12-week pre-orders.,Customer Segment,,Customer Pains,"CS.1,CS.2",2026-2-1,41,1,,0,1,Insufficient Data,Manufacturers and facilities dealing with post-COVID supply chain disruption,,,
"NH.2 - Obsolescence
  is Primary AM Adoption Driver","Parts obsolescence (no longer manufactured) drives AM adoption more than innovation/cost savings - AM becomes ONLY option, not just better option.",Customer Segment,,Customer Pains,"CS.1,CS.2",2026-2-1,41,1,,0,1,Insufficient Data,"Offshore operators, marine industry, industrial equipment manufacturers with aging assets",,,
"NH.3 - Lead Time
  Emergency Accelerates Adoption","High downtime costs force companies to try AM in emergencies (despite risk aversion), which opens door to comfort and eventual regular adoption.",Customer Segment,,Customer Job,CS.1,2026-2-1,41,1,,0,1,Insufficient Data,"Offshore operators, facility managers with critical downtime cost exposure",,,
"NH.4 - Geographic
  Isolation Amplifies Local Manufacturing Need","Regions with limited freight options (weather delays, single carriers, remote locations) have significantly higher pain from distant suppliers and gain more value from local AM hubs.",Customer Segment,,Customer Pains,"CS.1,CS.2",2026-2-1,41,1,,0,1,Insufficient Data,"Newfoundland, remote mining sites, offshore platforms, northern communities, isolated industrial facilities",,,
NH.5 - Predictive Maintenance + Digital Inventory Integration,Pairing condition monitoring/predictive maintenance with digital inventory enables proactive AM part ordering before failure (vs reactive emergency ordering).,Value Proposition,Gain Creators,,"CS.1,CS.2,CS.3",2026-2-1,41,1,,0,1,Insufficient Data,Facilities with IoT sensor infrastructure and AI/ML predictive maintenance initiatives,,,
"NH.6 - AM Adoption
  Evolution: Emergency → Comfort → Innovation","AM adoption follows predictable 3-phase evolution: (1) emergency use only, (2) success builds comfort for regular use, (3) exploration of design innovation beyond replication.",Customer Segment,,Customer Job,"CS.1,CS.2",2026-2-1,41,1,,0,1,Insufficient Data,Companies in Phase 1 (emergency) who can be moved to Phase 2 (regular) with platform support,,,
"NH.7 - Certification
  is Primary Gatekeeper for Regulated Industries","Without classification approvals and facility qualification (e.g. Lloyd's Register), AM cannot penetrate oil & gas, offshore, aerospace, or medical - certification is table stakes, not differentiator.",Key Resources,,,"CS.1,CS.2,CS.3",2026-2-1,41,1,,0,1,Insufficient Data,"Certification labs, regulatory authorities, certified facilities pursuing new markets",,,
"NH.8 - Feasibility +
  Cost Drive AM Acceptance (Interview 6 - John Lidstone)","First consideration for AM adoption is part-specific feasibility (is AM actually cheaper than traditional?) - round parts use machining, complex/cast components better for AM. Quantity also matters.",Customer Segment,,Customer Job,"CS.1,CS.2",2026-2-1,42,1,,0,1,Insufficient Data,Engineers evaluating AM vs traditional for specific parts - need decision support tools,,,
"NH.9 - Digital
  Inventory Reduces Lead Time from Months to Weeks",Scanning and digitizing parts for certification-ready digital inventory can reduce lead time from months to weeks when combined with AM production capability.,Value Proposition,Gain Creators,,"CS.1,CS.2,CS.3",2026-2-1,42,1,,0,1,Insufficient Data,Companies starting to digitize product inventory and seeking certification integration,,,
"NH.10 - OEM IP
  Release is Critical Blocker","To produce parts via AM, OEM must relinquish IP, or IP must be proven void/expired/open. AI-based patent search could help identify open-source opportunities. Need OEM relationships.",Key Partnerships,,,"CS.1,CS.2,CS.4",2026-2-1,42,1,,0,1,Insufficient Data,"OEMs open to distributed manufacturing partnerships, facilities seeking IP-cleared part libraries",,,
"NH.11 - CQFA as
  Quebec AM Ecosystem Gateway (Interview 7 - Fanny Charreteur)","Regional AM hubs like CQFA (Carrefour québécois de la fabrication additive) provide ecosystem access, partnership opportunities, and funding expertise (Sr&ED) that can accelerate platform adoption.",Key Partnerships,,,"CS.2,CS.3",2026-2-1,43,1,,0,1,Insufficient Data,"Regional AM ecosystem organizations, innovation hubs, government-backed manufacturing consortia",,,
H50 - Low-Risk Part Categorization System,Platform must provide automated risk categorization (critical vs non-critical) to help users identify parts safe for AM adoption. This is THE primary decision factor and should be MVP feature.,Value Proposition,Product/Service,,"CS.1,CS.2",2026-2-1,39,1,,0,1,Insufficient Data,Engineers and procurement managers evaluating AM feasibility who need decision support for risk assessment,,,
H51 - Post-Processing Service Network Integration,"Platform must integrate post-processing services (coatings, surface finishing, heat treatment) as these are critical for energy sector and often blocking factor for AM adoption. Network of qualified service providers needed.",Key Partnerships,Gain Creators,,"CS.1,CS.2",2026-2-1,39,1,,0,1,Insufficient Data,"Energy sector manufacturers requiring coatings/finishing, AM facilities seeking to offer complete solutions",,,
H52 - Reverse Engineering Service Integration,Platform should integrate reverse engineering services to scan obsolete parts and create certification-ready digital library. This transforms one-off emergency solutions into reusable assets,Key Partnerships,Gain Creators,,"CS.1,CS.2",2026-2-1,39,1,,0,1,Insufficient Data,"Companies with aging equipment and obsolete parts, reverse engineering firms seeking platform integration",,,
H53 - Predictive Maintenance API Integration,"Platform should provide API integration with predictive maintenance systems (IoT sensors, CMMS) to enable proactive part ordering before failure. This is ultimate vision combining predictive analytics with digital inventory.",Key Resources,Gain Creators,,"CS.1,CS.2,CS.3",2026-2-1,39,1,,0,1,Insufficient Data,"Facilities with IoT infrastructure and predictive maintenance programs, Industry 4.0 early adopters",,,
