Interview Count,Stakeholder being interviewed,Interview Date + Time,Note-taker,Key Insights,Which hypotheses were supported by this interview?,Which hypotheses were rejected by this interview?,PARTIALLY SUPPORTED,Notes
11,Dr. Ali Nasiri (Dalhousie University),2026-02-03,Mahmoud Kiasari,"• Pre-certified parts library: Tronosjet certified laser part can be reproduced without re-certifying
• Certification timeline: 2+ years for DNV/ABS/Lloyd's Register approval
• In-process defect detection: US universities researching AI+IoT mid-print adjustment (no commercial product yet)
• Halifax/offshore operators waste millions on reactive corrosion maintenance
• AI-powered visual inspection (drones + computer vision) could predict failures and trigger AM orders
• AM developed faster than authorities - regulatory gap is the main barrier","H69 - Electronics/Non-Structural Parts Best Fit for AM,H60 - Pre-Certified Parts Library,H61 - In-Process Defect Detection (Research Opportunity),H72 - Europe 10+ Years Ahead of Canada in AM Ecosystem,H62 - Corrosion Prediction for Offshore Assets",,,"Added Feb 8, 2026"
12,Clearwater Seafoods (Clearwater Seafoods),2026-02-03,Mahmoud Kiasari,"• ACTIVE VESSEL AM USER - Currently using plastic AM parts on fishing vessels
• ""Print a part that helps us out of a jam"" - emergency use case validation
• Space is the biggest challenge on vessels - can't justify printer footprint vs spare parts storage
• Haven't found enough tangible benefits to scale despite operational use - ROI measurement gap
• Successfully using plastic AM but uncertain about metal AM technology maturity and cost models
• Need ""Metal AM Readiness Assessment"" to guide upgrade decisions
• Pilot users exist but lack tools to quantify benefits (downtime saved, procurement costs avoided)","H69 - Electronics/Non-Structural Parts Best Fit for AM,H71 - Big Companies = Deep Pockets = No Urgency,H67 - AM ROI Measurement Gap,H68 - Metal AM Knowledge Gap,H64 - Temporary AM Parts for Non-Critical Applications,H66 - Space Constraint on Vessels",,,"Added Feb 8, 2026"
13,Lee Vessey (Thales),2026-02-04,Mahmoud Kiasari,"• Canadian Navy $360K project with Thales for digital inventory/AM
• Parts obsolescence drives AM adoption - AM becomes ONLY option, not just better option
• Navy vessels face 3-6 month lead times for obsolete parts
• ""Breakdown insurance"" positioning resonates better than cost savings
• E-inventory vision: Digital catalog of certified parts ready to print
• Sovereign resilience: Reducing dependence on foreign supply chains is defense value proposition
• Circuit board AM for electronics obsolescence","NH.22 - Sovereign Resilience is Defense Value Proposition,NH.21 - Breakdown Insurance Positioning (Not Cost Savings),NH.17 - Government Anchor Tenant Solves Cold Start Problem",,,"Added Feb 8, 2026"
14,Nicole Rathie (NGen),2026-02-04,Mahmoud Kiasari,"• NGen (Next Generation Manufacturing Canada) - Government funding ecosystem
• Select AM model: On-premise processing for IP protection (not cloud-based)
• IP protection is major concern - companies won't upload design files to cloud
• Government anchor tenant needed to solve chicken-and-egg marketplace problem
• Canadian Defense (DND) could de-risk platform for commercial customers
• Distributed manufacturing requires quality control AND IP protection simultaneously","NH.17 - Government Anchor Tenant Solves Cold Start Problem,NH.16 - On-Premise Processing Required for IP Protection",,,"Added Feb 8, 2026"
15,Mikhail Gladkikh (OMV Austria),2026-02-04,Mahmoud Kiasari,"• AI should be ""fully AI-based"" for inventory management decisions
• 15% ROI threshold required for O&G technology adoption
• AI automatically determines: stock physical inventory vs hold digital files for on-demand printing
• Fast follower company - not early adopter, needs proof from aerospace/defense first
• OMV has existing digital infrastructure - good fit for AI integration
• Predictive maintenance integration is critical for proactive ordering","NH.12 - Cost/ROI is #1 Adoption Barrier (89%),NH.19 - 15% ROI Threshold for O&G Adoption,NH.18 - AI for Stock vs Print Decision is Key Differentiator",,,"Added Feb 8, 2026"
16,Harvey Doane (Maritime Launch Services),2026-02-05,Mahmoud Kiasari,"• ""New Space"" (SpaceX model) embraces AM vs ""Old Space"" (Boeing/Lockheed) is risk-averse
• Target satellite/rocket manufacturers, not launch sites
• Safety > Time > Cost priority framework in regulated industries
• Mission assurance and safety-focused value propositions succeed; cost-focused fail
• Proof of concept path: Emergency use → Comfort → Regular use → Design innovation
• Temporary solutions can become permanent if they prove reliable","NH.15 - Safety > Time > Cost Priority Framework,NH.14 - Space Industry is AM-Native (New Space vs Old Space),NH.21 - Breakdown Insurance Positioning (Not Cost Savings)",,,"Added Feb 8, 2026"
17,Jean-Michel Fortin (Agnico Eagle Mines),2026-02-05,Mahmoud Kiasari,"• Mining is POOR FIT for AM/digital inventory - validated negative hypothesis
• Arctic mining needs 1000s of identical parts, not 10s of custom parts (volume mismatch)
• AM only viable as breakdown insurance for unpredictable failures
• Predictive maintenance already implemented - reduces emergency scenarios
• Geographic isolation (Arctic) creates high logistics costs but volume negates AM economics
• EXCLUDE: Mining operations with high-volume repetitive parts. INCLUDE ONLY: Emergency breakdown scenarios","NH.21 - Breakdown Insurance Positioning (Not Cost Savings),NH.13 - Mining is Poor Fit for AM/Digital Inventory",,,"Added Feb 8, 2026"
18,Chris (OMV) (OMV Austria),2026-02-05,Mahmoud Kiasari,"• 6-month valve wait times cause massive production losses - critical pain point
• 15% business improvement + new customer acquisition required before adoption
• ""People hide behind IP"" - IP concerns are real and pervasive
• Safety is non-negotiable in O&G operations
• Need proof from other sectors (Navy/Aerospace) before O&G will adopt
• Specialized valves are high-value target for AM/digital inventory","NH.16 - On-Premise Processing Required for IP Protection,NH.15 - Safety > Time > Cost Priority Framework,NH.18 - AI for Stock vs Print Decision is Key Differentiator,NH.20 - 6-Month Valve Wait is Critical Pain Point,NH.19 - 15% ROI Threshold for O&G Adoption",,,"Added Feb 8, 2026"
19,Fanny Charreteur (PRIMA Québec),2026-02-05,Mahmoud Kiasari,"• 89% cite investment costs as barrier to AM adoption (PRIMA Québec survey)
• 55% cite ROI uncertainty - value proposition MUST lead with financial proof, not technology
• 32% cite workforce shortage as barrier - platform must reduce workforce burden
• Only 20% of manufacturers actively engaged with digital transformation
• 80% are unaware or not ready - market education is prerequisite to sales
• Digital Transformation Offensive data shows early adopter vs laggard split
• Target the 20% early adopters first, not the 80% who need education","NH.12 - Cost/ROI is #1 Adoption Barrier (89%),NH.24 - Workforce Shortage Limits Adoption (32%),NH.25 - Only 20% Engaged with Digital Transformation",,,"Added Feb 8, 2026"
20,Nichelle & Dustin (Assembly Studio),2026-02-06,Mahmoud Kiasari,"• COMPETITIVE INTELLIGENCE: Assembly Studio is competitor in PEI
• Canadian AM ecosystem is 10+ years behind Europe/US
• European companies (Baker Hughes, France, Germany) already operational
• IP is #1 barrier: Raspberry Pi local hardware, no cloud uploads
• 90%+ know supply chain is broken but <10% know about AM solutions
• ""Dinosaurs"" (Tier 1 O&G) won't move - target Tier 2/3 operators instead
• Small companies cite cost + time as barriers
• Canadian patriotism/sovereign resilience angle works for defense","NH.16 - On-Premise Processing Required for IP Protection,H71 - Big Companies = Deep Pockets = No Urgency,NH.12 - Cost/ROI is #1 Adoption Barrier (89%),NH.22 - Sovereign Resilience is Defense Value Proposition,H72 - Europe 10+ Years Ahead of Canada in AM Ecosystem,NH.25 - Only 20% Engaged with Digital Transformation",,,"Added Feb 8, 2026"
21,Arad Gharagozli (Galaxia),2026-02-06,Mahmoud Kiasari,"• Interview scheduled - Galaxia mission control systems
• Questions prepared focusing on space industry AM adoption
• Potential insights on satellite operations and parts obsolescence",,,,"Added Feb 8, 2026"
22,Bachar Elzein (Reaction Dynamics),2026-02-06,Mahmoud Kiasari,"• Interview scheduled - Reaction Dynamics advanced manufacturing
• Questions prepared on production scaling and quality systems
• Potential insights on AM integration with traditional manufacturing",,,,"Added Feb 8, 2026"
23,Jim Granger (MAN Energy Solutions),2026-02-05,Mahmoud Kiasari,"• 15 years at GE - IP is non-negotiable, closed data approach required
• Electronics/controllers/relays = YES for marine AM. Heavy metal structural = NO
• ""Stuff is heavy metal... there is additive manufacturing that's massive, but no.""
• 2+ years for DNV/ABS/Lloyd's Register certification timeline
• AI is critical for predictive maintenance integration
• ""Amazon model"" concept now understood by industrial customers - market education shorter than expected
• Marine safety = airplane safety standards
• Navy example validated temporary parts concept
• Ship space is limited - same constraint as offshore vessels
• Technical expertise loss driving AI adoption need","NH.24 - Workforce Shortage Limits Adoption (32%),H69 - Electronics/Non-Structural Parts Best Fit for AM,NH.15 - Safety > Time > Cost Priority Framework,H70 - Amazon Model Resonates with Industrial Customers,H60 - Pre-Certified Parts Library,H64 - Temporary AM Parts for Non-Critical Applications,NH.16 - On-Premise Processing Required for IP Protection,H66 - Space Constraint on Vessels,NH.21 - Breakdown Insurance Positioning (Not Cost Savings)",,,"Added Feb 8, 2026"
